,Slot of Booking (Hour of the Day),90_days_repeat,Days_between_booking_service,Source_B,Source_C,Source_D
0,14,0,1,0,0,1
1,8,0,0,0,1,0
2,11,0,3,0,1,0
3,8,0,4,1,0,0
4,11,0,1,1,0,0
5,13,0,3,0,0,0
6,14,0,1,0,1,0
7,13,0,3,1,0,0
8,16,0,5,0,0,1
9,10,1,0,0,1,0
10,14,1,0,0,1,0
11,14,0,1,1,0,0
12,13,0,4,0,0,1
13,15,0,0,0,1,0
14,11,0,3,1,0,0
15,15,0,4,0,0,0
16,14,0,1,0,1,0
17,6,0,0,0,0,1
18,18,0,2,0,1,0
19,8,0,5,0,1,0
20,8,0,2,0,1,0
21,17,0,2,1,0,0
22,15,0,5,1,0,0
23,8,0,4,0,0,1
24,14,0,3,0,1,0
25,14,0,4,0,1,0
26,13,0,1,0,1,0
27,14,0,2,0,1,0
28,17,0,3,0,0,0
29,8,0,0,1,0,0
30,15,0,4,0,0,0
31,14,0,4,0,0,1
32,14,0,1,0,0,0
33,13,0,3,0,1,0
34,14,0,2,0,0,1
35,16,1,4,0,0,0
36,14,1,1,0,0,1
37,17,1,4,1,0,0
38,14,1,2,0,1,0
39,13,0,2,0,1,0
40,7,0,1,1,0,0
41,14,0,4,1,0,0
42,7,0,4,1,0,0
43,13,0,3,0,1,0
44,12,0,0,0,0,0
45,6,0,5,0,0,1
46,10,0,5,0,0,1
47,16,0,4,0,0,1
48,13,0,0,0,0,1
49,14,0,0,0,1,0
50,15,0,5,0,1,0
51,13,0,5,0,1,0
52,10,0,4,0,1,0
53,6,0,1,0,0,0
54,13,0,2,0,0,1
55,14,0,2,0,1,0
56,14,0,0,0,0,0
57,14,0,4,0,0,1
58,13,0,3,0,1,0
59,14,0,2,1,0,0
60,7,0,2,0,1,0
61,14,0,1,0,1,0
62,13,0,2,0,1,0
63,9,0,3,0,1,0
64,11,0,2,1,0,0
65,14,1,2,1,0,0
66,18,1,1,0,1,0
67,11,0,4,1,0,0
68,14,0,1,1,0,0
69,16,0,5,0,0,1
70,14,1,0,1,0,0
71,14,1,2,0,0,0
72,18,1,1,0,0,1
73,13,1,2,1,0,0
74,14,1,0,0,1,0
75,12,1,4,0,0,0
76,13,1,4,0,1,0
77,19,1,5,1,0,0
78,16,1,2,1,0,0
79,14,1,0,1,0,0
80,10,1,5,1,0,0
81,14,1,1,0,0,0
82,14,1,5,1,0,0
83,8,1,2,0,1,0
84,14,1,1,0,0,0
85,14,1,3,1,0,0
86,14,1,1,0,1,0
87,13,1,3,0,0,1
88,10,1,4,0,1,0
89,14,1,3,0,0,0
90,17,0,3,0,1,0
91,14,0,4,0,1,0
92,7,0,2,0,1,0
93,13,0,1,0,1,0
94,13,0,2,0,0,1
95,14,1,5,0,1,0
96,9,1,2,0,1,0
97,9,1,1,0,1,0
98,14,1,5,0,1,0
99,14,1,5,0,1,0
100,13,1,2,0,0,0
101,6,1,4,1,0,0
102,14,1,0,0,0,1
103,9,1,1,0,1,0
104,19,0,1,1,0,0
105,14,0,4,1,0,0
106,8,1,5,1,0,0
107,14,1,4,0,1,0
108,13,1,1,1,0,0
109,7,1,3,0,0,1
110,6,1,4,0,0,1
111,13,1,5,0,0,1
112,13,1,0,1,0,0
113,6,1,5,1,0,0
114,13,1,4,0,0,1
115,14,1,0,0,0,1
116,14,1,2,0,1,0
117,6,0,5,0,1,0
118,19,0,5,0,1,0
119,14,0,0,1,0,0
120,13,0,1,0,1,0
121,14,0,2,0,0,1
122,13,0,0,0,0,1
123,14,0,3,0,1,0
124,14,0,1,0,1,0
125,14,0,4,1,0,0
126,14,0,0,0,0,0
127,14,0,4,0,0,1
128,14,0,2,0,0,1
129,14,1,2,0,1,0
130,14,1,1,0,0,0
131,11,0,1,0,1,0
132,14,0,5,0,0,1
133,13,0,0,1,0,0
134,14,0,2,0,0,0
135,13,1,3,1,0,0
136,14,1,4,0,1,0
137,14,1,5,0,0,1
138,14,1,4,0,1,0
139,14,0,4,0,1,0
140,13,0,1,0,1,0
141,19,0,2,0,0,1
142,6,0,3,0,0,1
143,15,0,3,0,0,1
144,7,0,5,0,0,0
145,14,0,1,0,1,0
146,16,0,0,0,0,1
147,14,0,3,0,0,1
148,14,0,2,1,0,0
